prediction	error	relative_error	error_decile	abs_error_decile
21173.912876472787	8.414261713332962	0.0003972302787338356	6	0
21270.758018897992	2.928940814566886	0.00013767904078468496	6	0
21310.140116127128	22.443800885692326	0.001052090125275134	6	0
21393.086909819925	-25.878203878241038	-0.0012111176632558917	5	1
21469.743921982343	-101.70855166956244	-0.004759845718472978	3	4
21333.57494747415	91.41621262531407	0.00426680281649599	8	3
21448.74048416657	-0.1624132835495402	-7.572216816089095e-06	6	0
21597.129940907533	51.06295011228576	0.0023587627091713453	7	2
21679.20394080884	-27.259242584608728	-0.0012589743306911539	5	1
21631.63863417035	32.548373341611295	0.0015024045596691575	7	1
21660.527870207694	10.458109698793123	0.0004825857812141066	6	0
21810.909562309596	-48.51716472580301	-0.0022294040029895664	4	2
21802.350872026953	2.2821454988297774	0.00010466332989853443	6	0
21869.367458758377	-6.585875703651254	-0.0003012368613130086	6	0
21820.541039848213	51.18612813064101	0.002340287428492602	7	2
21958.541136583837	-6.588528133681393	-0.0003001340359647649	6	0
21937.723434894815	21.55662196940466	0.0009816634203663843	6	0
21951.293884724713	25.224191935027193	0.001147779272723674	6	1
22018.932435646766	22.796552696017898	0.0010342452131624665	6	0
22008.19408515053	39.775384089189174	0.0018040384237959827	7	1
22009.893450363754	49.48318542335983	0.002243181493310325	7	2
22041.48397003335	36.941969506751775	0.0016732157268780949	7	1
22038.08946657318	113.77418743358794	0.005136100023485328	9	4
22114.36068622061	46.6676935058058	0.0021058451217227277	7	1
22039.463223577553	131.37700775315898	0.005925666613550515	9	5
22209.208831433327	-22.285028034155403	-0.001004421713962041	5	0
22254.237800995543	40.01887894357424	0.0017950308690750896	7	1
22272.192603176845	24.19826883298083	0.0010852998125072592	6	1
22401.049351324695	31.570839926615008	0.0014073630123211194	7	1
22474.34546497392	25.670691207571508	0.0011409187899857987	6	1
22574.850697694164	-37.65449722573612	-0.0016707711505370613	5	1
22546.833377900082	-3.733431731190649	-0.00016561305854588692	6	0
22748.55247078239	16.01720973375268	0.0007036025700701723	6	0
22751.55667384281	26.758598615037045	0.0011747400233498354	6	1
22709.4374928782	94.02091679514342	0.004123099010072054	8	3
22714.73115493828	147.14626045264913	0.006829774600485865	9	6
22858.759299842215	52.50913607128314	0.0022918476215387043	7	2
22809.398434865077	126.61962493084138	0.0055205583026981635	9	5
22905.27111689786	88.2747994240126	0.0038391120597606955	8	3
23057.385465338168	110.57957914306826	0.004772951743097051	9	4
23162.388422809276	82.33776960830437	0.0035422129272128368	8	3
23193.42477449659	57.67706544671819	0.0024806164389007215	7	2
23208.34214571215	71.45817983171219	0.003069535770601279	8	2
23428.995755337233	32.06396679673708	0.0013666887675362264	7	1
23703.013787857748	11.470954289397923	0.0004837108802541634	6	0
23718.312098664555	-0.5381668678564893	-2.26904459669804e-05	6	0
24023.612391892537	-93.21942404586298	-0.003895440587670848	3	3
24104.013031687075	-84.65670437188601	-0.003524520108626436	4	3
24168.87453782089	-108.196990240569	-0.004496838878564743	3	4
24241.709925093077	-60.76562174202991	-0.002512954869740504	4	2
24318.639784075465	-74.304727742041	-0.0030648284462901835	4	3
24299.887679642346	-31.945881918996747	-0.0013163820065694113	5	1
24999.507537039375	-240.5061610300577	-0.0104438716399793	0	9
25251.67951660951	-175.50516321673058	-0.006998881118920953	1	7
25281.997301280953	-182.32618382013607	-0.007264086567783718	1	7
25656.163203915152	64.81871302899162	0.0025200714824301154	7	2
